trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-36.28235028898579,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-229.86969136223982,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-111.34439068230847,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-128.21899204995233,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-163.2973346081944,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-92.31689788067895,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-108.74847872626914,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-101.62321965731871,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-68.06551808638991,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-29.67400699824345,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-109.29669734447779,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-115.55533653137823,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,9,-9.192923366706184,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,1,-279.3999574796732,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 5}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-92.23599419255802,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-96.42650319453644,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-122.5609829683582,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-37.15113237430319,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,14,-29.023931780983443,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-167.12087156403894,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,7,-33.59307318940704,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-93.37152608346406,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",30,0,-136.73048666510692,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-21.452668438190965,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-147.42961373050383,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-27.774054793879774,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,1,-61.68462195556194,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-13.704118908616326,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
