trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-100,-1088.1530489174263,"{0: 59, 1: 0, 2: 56, 3: 0, 4: 15}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-753.3057034288881,"{0: 77, 1: 0, 2: 36, 3: 0, 4: 12}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-100,-1123.3990041330771,"{0: 49, 1: 0, 2: 62, 3: 0, 4: 14}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-865.2114284566923,"{0: 62, 1: 0, 2: 53, 3: 0, 4: 10}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-1221.4514018627108,"{0: 53, 1: 0, 2: 46, 3: 0, 4: 21}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-1044.830189730037,"{0: 70, 1: 0, 2: 43, 3: 0, 4: 17}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,-100,-1009.2594477516004,"{0: 56, 1: 0, 2: 62, 3: 0, 4: 12}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-1131.6891065810455,"{0: 64, 1: 0, 2: 41, 3: 0, 4: 20}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-846.4297835031823,"{0: 59, 1: 0, 2: 51, 3: 0, 4: 10}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-770.8994153432664,"{0: 68, 1: 0, 2: 48, 3: 0, 4: 9}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,12,-32.04357023599529,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,10,-85.97005040613098,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-897.9306362201752,"{0: 60, 1: 0, 2: 48, 3: 0, 4: 12}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-883.6394561204669,"{0: 65, 1: 0, 2: 48, 3: 0, 4: 12}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-100,-911.8704579400172,"{0: 69, 1: 0, 2: 49, 3: 0, 4: 12}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-100,-1066.1634804965709,"{0: 64, 1: 0, 2: 44, 3: 0, 4: 17}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-977.4403965468721,"{0: 59, 1: 0, 2: 47, 3: 0, 4: 14}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-850.7851866608339,"{0: 62, 1: 0, 2: 46, 3: 0, 4: 12}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-905.5972292881992,"{0: 63, 1: 0, 2: 44, 3: 0, 4: 13}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-734.9028259855577,"{0: 60, 1: 0, 2: 53, 3: 0, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-100,-700.9294743850547,"{0: 67, 1: 0, 2: 57, 3: 0, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,-100,-1003.7723766119143,"{0: 64, 1: 0, 2: 58, 3: 0, 4: 13}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,-100,-844.4400689041654,"{0: 71, 1: 0, 2: 48, 3: 0, 4: 11}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-100,-778.0946495366661,"{0: 70, 1: 0, 2: 44, 3: 0, 4: 11}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-984.6289762759479,"{0: 59, 1: 0, 2: 47, 3: 0, 4: 14}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-1198.003826012959,"{0: 45, 1: 0, 2: 58, 3: 0, 4: 17}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-905.6922509377642,"{0: 59, 1: 0, 2: 48, 3: 0, 4: 13}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-100,-1310.825806663798,"{0: 51, 1: 0, 2: 60, 3: 0, 4: 19}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-809.0913639836061,"{0: 58, 1: 0, 2: 53, 3: 0, 4: 9}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-932.2728022695792,"{0: 63, 1: 0, 2: 42, 3: 0, 4: 15}",0
